Ticker,Weightage,,,,,,,,,,,,,,,,,,
ADANIPORTS,0.0082,,,,,,,,,,,,,,,,,,
APOLLOHOSP,0.0061,,,,,,,,,,,,,,,,,,
ASIANPAINT,0.0195,,,,,,,,,,,,,,,,,,
AXISBANK,0.0257,,,,,,,,,,,,,,,,,,
BAJAJFINSV,0.012,,,,,,,,,,,,,,,,,,
BAJFINANCE,0.0237,,,,,,,,,,,,,,,,,,
BHARTIARTL,0.0233,,,,,,,,,,,,,,,,,,
BPCL,0.0046,,,,,,,,,,,,,,,,,,
BRITANNIA,0.0052,,,,,,,,,,,,,,,,,,
CIPLA,0.0068,,,,,,,,,,,,,,,,,,
COALINDIA,0.0051,,,,,,,,,,,,,,,,,,
DIVISLAB,0.0077,,,,,,,,,,,,,,,,,,
DRREDDY,0.0067,,,,,,,,,,,,,,,,,,
EICHERMOT,0.0049,,,,,,,,,,,,,,,,,,
GRASIM,0.0085,,,,,,,,,,,,,,,,,,
HCLTECH,0.0153,,,,,,,,,,,,,,,,,,
HDFCBANK,0.081,,,,,,,,,,,,,,,,,,
HDFCLIFE,0.0072,,,,,,,,,,,,,,,,,,
HEROMOTOCO,0.0043,,,,,,,,,,,,,,,,,,
HINDALCO,0.0094,,,,,,,,,,,,,,,,,,
HINDUNILVR,0.0267,,,,,,,,,,,,,,,,,,
ICICIBANK,0.069,,,,,,,,,,,,,,,,,,
INDUSINDBK,0.0085,,,,,,,,,,,,,,,,,,
INFY,0.0766,,,,,,,,,,,,,,,,,,
ITC,0.0303,,,,,,,,,,,,,,,,,,
JSWSTEEL,0.0094,,,,,,,,,,,,,,,,,,
KOTAKBANK,0.0351,,,,,,,,,,,,,,,,,,
LT,0.0274,,,,,,,,,,,,,,,,,,
MARUTI,0.0137,,,,,,,,,,,,,,,,,,
NESTLEIND,0.0087,,,,,,,,,,,,,,,,,,
NTPC,0.0099,,,,,,,,,,,,,,,,,,
ONGC,0.0078,,,,,,,,,,,,,,,,,,
POWERGRID,0.0104,,,,,,,,,,,,,,,,,,
RELIANCE,0.1286,,,,,,,,,,,,,,,,,,
SBILIFE,0.0065,,,,,,,,,,,,,,,,,,
SBIN,0.0254,,,,,,,,,,,,,,,,,,
SHREECEM,0.0046,,,,,,,,,,,,,,,,,,
SUNPHARMA,0.0134,,,,,,,,,,,,,,,,,,
TATACONSUM,0.0066,,,,,,,,,,,,,,,,,,
TATAMOTORS,0.0105,,,,,,,,,,,,,,,,,,
TATASTEEL,0.0137,,,,,,,,,,,,,,,,,,
TCS,0.0491,,,,,,,,,,,,,,,,,,
TECHM,0.0105,,,,,,,,,,,,,,,,,,
TITAN,0.0137,,,,,,,,,,,,,,,,,,
ULTRACEMCO,0.0102,,,,,,,,,,,,,,,,,,
UPL,0.006,,,,,,,,,,,,,,,,,,
WIPRO,0.0101,,,,,,,,,,,,,,,,,,
